codi                           codi_carrer        tipus_via   nom_carrer           numero_postal          codi_districte        nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                latitud                 espai_verd_codi        espai_verd_nom
0042-01-J001-PV001-0000409JO             701856   Jard        Ana_Figuera                             0                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                433.344.871              4.585.289.029              22.024.072             414.163.912                     42   Andrade_c._(_Agricultura_c._-_Treball_c._)
0042-01-J001-PV001-0000410JO             701856   Jard        Ana_Figuera                             0                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                433.348.251              4.585.285.204              22.024.480             414.163.570                     42   Andrade_c._(_Agricultura_c._-_Treball_c._)
0042-01-J001-PV001-0000411JO             701856   Jard        Ana_Figuera                             0                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                433.340.737              4.585.285.212              22.023.581             414.163.565                     42   Andrade_c._(_Agricultura_c._-_Treball_c._)
0043-01-J001-PV001-0000405JO             104200   C           Doctor_Zamenhof                        21                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                432.699.042              4.585.378.556              21.946.700             414.171.437                     43   Doctor_Zamenhof_c.
0043-01-J001-PV001-0000406JO             104200   C           Doctor_Zamenhof                        21                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                432.698.144              4.585.383.559              21.946.587             414.171.887                     43   Doctor_Zamenhof_c.
0044-01-J001-PV001-0000403JO               6302   C           Alcala_de_Guadaira                      8                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                432.886.902              4.585.382.308              21.969.173             414.171.932                     44   Alcala_de_Guadaira_c.
0044-01-J001-PV001-0000404JO               6302   C           Alcala_de_Guadaira                      8                    10   Sant_Marti                   72   Sant_Marti_de_Provençals                432.888.693              4.585.377.484              21.969.393             414.171.499                     44   Alcala_de_Guadaira_c.
0046-01-J001-PV001-0000394JO             266405   Rbla        Prim                                  210                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.513.475              4.585.973.419              22.043.493             414.225.693                     46   Prim_Rbla._(Guipuscoa_c.__-_Binefar_c._)
0046-01-J002-PV001-0000400JO             266405   Rbla        Prim                                  210                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.494.836              4.586.002.541              22.041.230             414.228.300                     46   Prim_Rbla._(Guipuscoa_c.__-_Binefar_c._)
0046-01-J002-PV001-0000401JO             266405   Rbla        Prim                                  210                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.493.353              4.586.005.533              22.041.049             414.228.568                     46   Prim_Rbla._(Guipuscoa_c.__-_Binefar_c._)
